"","domain","BA_hat","BA","sample_size","model"
"47194","B",65.4131700415216,65.1658741408031,"32","area_eblup"
"47195","C",38.238233108559,37.3974311713912,"32","area_eblup"
"47196","D",57.9083550987906,57.3637802690845,"32","area_eblup"
"47197","E",59.8827420231292,59.5110616250196,"32","area_eblup"
"47198","F",78.2663829421181,78.6226240069573,"32","area_eblup"
"47199","G",65.763401109924,67.0435767712799,"32","area_eblup"
"47200","H",50.2089060976279,49.6500997828831,"32","area_eblup"
"47201","A",44.4711999174608,45.5597646993401,"32","area_eblup"
"47202","B",64.2660005283945,65.1658741408031,"32","area_eblup"
"47203","C",37.9427453407847,37.3974311713912,"32","area_eblup"
"47204","D",57.81219898104,57.3637802690845,"32","area_eblup"
"47205","E",59.00641550686,59.5110616250196,"32","area_eblup"
"47206","F",78.7856213422356,78.6226240069573,"32","area_eblup"
"47207","G",65.5781034977908,67.0435767712799,"32","area_eblup"
"47208","H",50.9380382930326,49.6500997828831,"32","area_eblup"
"47209","A",46.152560163626,45.5597646993401,"32","area_eblup"
"47210","B",65.4619529589869,65.1658741408031,"32","area_eblup"
"47211","C",37.9093035288162,37.3974311713912,"32","area_eblup"
"47212","D",58.1783818483158,57.3637802690845,"32","area_eblup"
"47213","E",59.7452316185271,59.5110616250196,"32","area_eblup"
"47214","F",78.3457044366457,78.6226240069573,"32","area_eblup"
"47215","G",65.6818753237663,67.0435767712799,"32","area_eblup"
"47216","H",49.934199446337,49.6500997828831,"32","area_eblup"
"47217","A",45.6332067708619,45.5597646993401,"32","area_eblup"
"47218","B",65.3011010084321,65.1658741408031,"32","area_eblup"
"47219","C",37.0450419151297,37.3974311713912,"32","area_eblup"
"47220","D",57.4622729402455,57.3637802690845,"32","area_eblup"
"47221","E",60.2309808225444,59.5110616250196,"32","area_eblup"
"47222","F",78.0043955072302,78.6226240069573,"32","area_eblup"
"47223","G",66.0768542280237,67.0435767712799,"32","area_eblup"
"47224","H",50.2742263832165,49.6500997828831,"32","area_eblup"
"47225","A",45.2197117634082,45.5597646993401,"32","area_eblup"
"47226","B",64.9616090010378,65.1658741408031,"32","area_eblup"
"47227","C",37.55632934667,37.3974311713912,"32","area_eblup"
"47228","D",56.1259562740936,57.3637802690845,"32","area_eblup"
"47229","E",58.6214663316806,59.5110616250196,"32","area_eblup"
"47230","F",77.9693865479307,78.6226240069573,"32","area_eblup"
"47231","G",65.2004885724442,67.0435767712799,"32","area_eblup"
"47232","H",49.1397786042625,49.6500997828831,"32","area_eblup"
"47233","A",44.0434871541601,45.5597646993401,"32","area_eblup"
"47234","B",64.4786695178287,65.1658741408031,"32","area_eblup"
"47235","C",36.4613127363495,37.3974311713912,"32","area_eblup"
"47236","D",57.5660883524167,57.3637802690845,"32","area_eblup"
"47237","E",59.7118605668838,59.5110616250196,"32","area_eblup"
"47238","F",77.9477507296593,78.6226240069573,"32","area_eblup"
"47239","G",65.4782235242968,67.0435767712799,"32","area_eblup"
"47240","H",50.5385952273539,49.6500997828831,"32","area_eblup"
"47241","A",46.0036149755641,45.5597646993401,"32","area_eblup"
"47242","B",65.9090053271179,65.1658741408031,"32","area_eblup"
"47243","C",37.9802326679471,37.3974311713912,"32","area_eblup"
"47244","D",56.4555777758417,57.3637802690845,"32","area_eblup"
"47245","E",60.9103457812421,59.5110616250196,"32","area_eblup"
"47246","F",79.2103744528635,78.6226240069573,"32","area_eblup"
"47247","G",66.110364030848,67.0435767712799,"32","area_eblup"
"47248","H",49.4728584817282,49.6500997828831,"32","area_eblup"
"47249","A",46.2983818743727,45.5597646993401,"32","area_eblup"
